salary, info
Medium,Business MSCF Postgraduate 2009 Bachelor 3.06 multi-modal A3 
Medium,Business Business Undergraduate 2007 High-school 3.42 multi-modal B1 
Medium,Business MBA Postgraduate 2009 Bachelor 2.84 internal F 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.3 internal B1 
Low,Business Business Undergraduate 2010 High-school 3.88 internal A3 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.33 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2010 High-school 2.95 internal B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 2.99 multi-modal A2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.64 internal B2 
NoPay,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.05 multi-modal B1 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.96 internal B2 
Medium,Business MBA Postgraduate 2010 Bachelor 3.59 internal A3 
Low,Business Economics Undergraduate 2010 High-school 3.3 multi-modal A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 2008 High-school 3.18 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.55 external B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.43 internal B1 
Medium,Business MSCF Postgraduate 2010 Bachelor 2.86 multi-modal B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.19 internal C 
Medium,Business MSCF Postgraduate 2010 Bachelor 3.36 internal F 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.74 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.66 multi-modal A3 
Low,Business MSCF Postgraduate 2010 Bachelor 2.9 multi-modal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.73 internal A3 
Low,Science B.A.inChemistry Undergraduate 2009 High-school 3.36 internal B1 
Low,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.75 multi-modal B2 
Medium,Business Business Undergraduate 2010 High-school 3.72 multi-modal B3 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.87 internal A3 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.24 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2010 High-school 3.83 external B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.54 multi-modal B1 
Low,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 2.89 internal B2 
Medium,Business MSCF Postgraduate 2010 Bachelor 3.92 internal B2 
Medium,Business Economics Undergraduate 2008 High-school 3.26 internal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.72 internal C 
Medium,Business MBA Postgraduate 2010 Bachelor 2.86 internal B2 
Low,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.65 multi-modal A3 
Low,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.45 internal B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 2.99 internal B2 
Medium,Science B.A.inChemistry Undergraduate 2007 High-school 3.37 multi-modal F 
Medium,Business Business Undergraduate 2008 High-school 3.4 internal B1 
Medium,Science B.A.inChemistry Undergraduate 2008 High-school 3.92 multi-modal B2 
Medium,Science B.A.inChemistry Undergraduate 2007 High-school 2.93 external A3 
Low,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.92 internal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 2.99 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.06 internal B1 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.24 multi-modal B2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.36 internal B2 
Low,ComputerScience B.S.inComputerScience Postgraduate 2009 Bachelor 3.05 multi-modal C 
Medium,Business Business Undergraduate 2010 High-school 3.41 internal F 
Medium,Science B.S.inMathematicalSciences Undergraduate 2007 High-school 3.12 internal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.48 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2007 High-school 3.94 external B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.52 internal A3 
Low,Science B.A.inChemistry Undergraduate 2009 High-school 2.84 external B2 
Low,Business Economics Undergraduate 2007 High-school 3.89 multi-modal A3 
Medium,Business MBA Postgraduate 2010 Bachelor 3.69 internal B1 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.23 external B1 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.83 multi-modal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.99 internal B1 
Medium,Business MBA Postgraduate 2010 Bachelor 3.34 internal B1 
Medium,Science B.A.inChemistry Undergraduate 2008 High-school 3.36 external B2 
Medium,Science B.A.inChemistry Undergraduate 2010 High-school 3.12 internal B1 
Low,Business Business Undergraduate 2010 High-school 2.84 multi-modal B2 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.19 internal A3 
Medium,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 3.13 internal A3 
Low,Science B.S.inMathematicalSciences Undergraduate 2007 High-school 3.21 internal A2 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.13 multi-modal A3 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.07 multi-modal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.13 internal A2 
Low,Science B.S.inMathematicalSciences Undergraduate 2010 High-school 3.11 internal A3 
Medium,Business MSCF Postgraduate 2010 Bachelor 3.69 internal B2 
Low,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.91 external B1 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.14 multi-modal A2 
Low,Science B.S.inMathematicalSciences Undergraduate 2007 High-school 2.88 internal B2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2010 High-school 3.16 external A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.04 internal A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 2.95 internal B2 
Medium,Business Economics Undergraduate 2010 High-school 3.08 external B2 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.46 multi-modal A1 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.48 multi-modal B1 
Low,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.07 internal A3 
Low,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.89 multi-modal A3 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.57 internal A3 
Low,Business Business Undergraduate 2010 High-school 3.64 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2007 High-school 3.51 internal A3 
Medium,Business MSCF Postgraduate 2010 Bachelor 3.07 internal B2 
Medium,Science B.S.inMathematicalSciences Undergraduate 2010 High-school 2.81 multi-modal A2 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.62 internal B2 
Medium,Business Business Undergraduate 2008 High-school 3.58 multi-modal A3 
Low,Business Economics Undergraduate 2009 High-school 3.52 internal A2 
Low,Business MSCF Postgraduate 2010 Bachelor 2.86 multi-modal B1 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.95 internal B1 
Medium,Business MSCF Postgraduate 2010 Bachelor 3.47 internal A3 
Low,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.14 internal B2 
Low,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 3.61 multi-modal C 
Low,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.71 internal B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 2.86 internal F 
Medium,Business Economics Undergraduate 2009 High-school 3.66 multi-modal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 High-school 2.93 internal B2 
Low,Business Business Undergraduate 2009 High-school 3.93 internal A3 
Low,Business Economics Undergraduate 2008 High-school 3.91 multi-modal B1 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.56 external B1 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.73 internal A3 
Low,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.75 internal B1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2010 High-school 2.85 internal B2 
Low,Business Business Undergraduate 2007 High-school 3.07 internal B1 
Medium,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 3.66 internal B2 
Low,Business Business Undergraduate 2010 High-school 3.78 internal B1 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.48 internal F 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.9 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 2.83 internal B2 
Medium,Business MSCF Postgraduate 2010 Bachelor 2.98 internal A3 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.73 multi-modal A2 
Medium,Science B.A.inChemistry Undergraduate 2007 High-school 3.62 multi-modal B2 
Low,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.52 internal C 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 2.88 internal B1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.12 multi-modal F 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.49 internal A3 
Low,Science B.A.inChemistry Undergraduate 2010 High-school 3.03 internal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.28 internal A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 2008 High-school 3.91 external A2 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.5 internal B1 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.16 internal A2 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.07 internal B1 
Medium,Business Economics Undergraduate 2007 High-school 3.8 internal B2 
Low,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.84 internal F 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.47 internal A2 
Low,Business Economics Undergraduate 2009 High-school 3.97 multi-modal B3 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.04 external A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.21 multi-modal A1 
Medium,Business Business Undergraduate 2007 High-school 3.87 internal B1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2008 High-school 3.38 multi-modal B2 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.22 multi-modal A3 
Low,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 2.95 internal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 2.89 internal A2 
Medium,Science B.A.inChemistry Undergraduate 2007 High-school 3.67 internal A1 
Low,Science B.A.inChemistry Undergraduate 2010 High-school 3.36 internal C 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 2.97 external B2 
Medium,Business Business Undergraduate 2008 High-school 2.89 multi-modal B2 
Medium,Business MSCF Postgraduate 2010 Bachelor 2.9 internal A1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2007 High-school 3.19 internal A3 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2009 Bachelor 3.6 internal A3 
Low,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 4 internal B1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2007 High-school 3.04 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.29 internal B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.02 external B1 
Medium,Business Business Undergraduate 2010 High-school 3.45 internal F 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.64 multi-modal B2 
Medium,Business Economics Undergraduate 2008 High-school 3.38 internal B2 
Low,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.48 internal A3 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.89 multi-modal B1 
Low,Business MSCF Postgraduate 2010 Bachelor 3.43 internal B2 
Low,Science B.A.inChemistry Undergraduate 2010 High-school 3.71 internal B1 
Medium,Business MBA Postgraduate 2010 Bachelor 3.63 external B2 
Medium,Business MBA Postgraduate 2010 Bachelor 3.19 internal A3 
Medium,Business Economics Undergraduate 2010 High-school 3.77 external A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.13 internal B2 
Medium,Business MBA Postgraduate 2010 Bachelor 4 internal B1 
Medium,Business MBA Postgraduate 2009 Bachelor 2.81 internal F 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.15 internal A2 
Low,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 2.89 internal B3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.87 multi-modal B2 
Medium,Business MBA Postgraduate 2010 Bachelor 3.6 internal B2 
Medium,Business MSCF Postgraduate 2010 Bachelor 3.07 internal B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.38 multi-modal B1 
Medium,Business Business Undergraduate 2008 High-school 3.48 multi-modal B1 
Medium,Business Economics Undergraduate 2008 High-school 3.04 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.07 multi-modal A3 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.9 external A2 
Medium,Business Economics Undergraduate 2009 High-school 3.24 internal A3 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.22 external A1 
Medium,Science B.A.inChemistry Undergraduate 2007 High-school 2.92 multi-modal A2 
Low,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.92 internal B2 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.2 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2008 Bachelor 3.82 external A3 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 2.92 internal A3 
NoPay,Business Business Undergraduate 2008 High-school 3.01 internal A3 
NoPay,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.99 multi-modal B1 
Low,Science B.A.inBiologicalSciences Undergraduate 2010 High-school 3.56 multi-modal F 
Medium,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 3.47 internal B1 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.11 internal A3 
Low,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 3.96 internal F 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2008 Bachelor 3.33 internal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.73 internal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.13 internal F 
Medium,Business MBA Postgraduate 2008 Bachelor 3.28 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2008 Bachelor 3.1 internal A3 
Medium,Business MBA Postgraduate 2010 Bachelor 3.4 internal F 
Medium,Business MBA Postgraduate 2009 Bachelor 3.19 internal B1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2008 High-school 3.61 internal B1 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.05 multi-modal B2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2007 High-school 3.7 internal A3 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.94 internal A1 
Medium,Business Economics Undergraduate 2009 High-school 3.97 external A3 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.8 multi-modal A3 
Medium,Business Business Undergraduate 2010 High-school 3.26 multi-modal B1 
Medium,Business MSCF Postgraduate 2010 Bachelor 2.81 multi-modal A2 
Medium,Business MSCF Postgraduate 2008 Bachelor 3.76 multi-modal A2 
Low,Science B.A.inBiologicalSciences Undergraduate 2007 High-school 3.76 multi-modal B1 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 High-school 3.02 internal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2008 Bachelor 3.42 internal B2 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2008 Bachelor 3.28 multi-modal F 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.03 multi-modal B1 
Low,Business Business Undergraduate 2008 High-school 3.19 multi-modal A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 2007 High-school 3.19 internal B2 
Low,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.78 multi-modal B2 
Medium,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 3.86 internal A2 
Low,Business Economics Undergraduate 2010 High-school 3.74 multi-modal A3 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.69 internal B2 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.62 external B2 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.52 multi-modal B2 
Medium,Science B.A.inChemistry Undergraduate 2008 High-school 2.91 internal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 4 internal B2 
Medium,Science M.S.inChemistry Postgraduate 2008 Bachelor 3.54 internal A3 
Medium,Business Business Undergraduate 2009 High-school 3.4 multi-modal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 3.03 internal A1 
Low,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.35 internal B1 
Medium,Business Economics Undergraduate 2008 High-school 3.87 internal F 
Medium,Business MBA Postgraduate 2010 Bachelor 2.93 internal A2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2008 High-school 3.31 multi-modal B2 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.82 internal A3 
Low,Business Business Undergraduate 2007 High-school 2.96 internal C 
Low,Science B.A.inBiologicalSciences Undergraduate 2010 High-school 3.09 internal B1 
Medium,Science B.A.inChemistry Undergraduate 2007 High-school 3.96 internal A3 
Low,Science M.S.inChemistry Postgraduate 2008 Bachelor 3.03 internal A3 
Low,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.36 internal C 
Medium,Science B.A.inBiologicalSciences Undergraduate 2007 High-school 3.73 multi-modal B1 
Medium,Business Business Undergraduate 2007 High-school 3.22 internal B1 
Medium,Business Business Undergraduate 2010 High-school 2.8 internal F 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.99 internal A1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2008 Bachelor 3.36 internal A3 
Medium,Business Economics Undergraduate 2008 High-school 3.52 internal A1 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2008 Bachelor 3.26 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2008 Bachelor 3.96 multi-modal A3 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2008 Bachelor 3.2 external A1 
Medium,Science M.S.inBiologicalSciences Postgraduate 2008 Bachelor 3.59 internal B1 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.54 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.98 internal A3 
Low,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.34 multi-modal B2 
Low,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.52 internal A2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2008 High-school 3.45 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.19 multi-modal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.99 internal B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2008 Bachelor 3.28 multi-modal B1 
Medium,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 3.91 internal B1 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.57 internal B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.11 internal A3 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2008 Bachelor 3.02 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 3.53 internal B1 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.16 internal F 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2008 Bachelor 3.37 multi-modal A3 
Medium,Business Business Undergraduate 2009 High-school 3.03 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2008 Bachelor 3.06 internal B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.44 internal B2 
Low,Science B.A.inChemistry Undergraduate 2010 High-school 3.88 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2010 High-school 3.04 internal F 
Low,Science B.A.inBiologicalSciences Undergraduate 2007 High-school 3.04 multi-modal B1 
Medium,Science B.A.inChemistry Undergraduate 2010 High-school 3.44 external B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 2.83 multi-modal B1 
Medium,Business Economics Undergraduate 2010 High-school 3 internal B1 
Medium,Science B.S.inMathematicalSciences Undergraduate 2010 High-school 2.92 multi-modal A3 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2009 Bachelor 3.62 internal A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.73 internal A3 
Medium,Science M.S.inBiologicalSciences Postgraduate 2008 Bachelor 2.89 internal B1 
Low,Business Economics Undergraduate 2007 High-school 3.46 external B1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2007 High-school 3.85 internal B2 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.47 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.17 internal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.26 internal B2 
Medium,Business Business Undergraduate 2009 High-school 3.63 internal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.06 multi-modal B2 
Low,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.35 internal A2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.47 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2010 High-school 3.46 internal F 
Low,Business Economics Undergraduate 2007 High-school 3.55 multi-modal B2 
Low,Business Business Undergraduate 2009 High-school 3.4 internal A3 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.75 external B1 
Low,Business MSCF Postgraduate 2010 Bachelor 3.94 internal B1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2010 High-school 2.9 internal A3 
Low,Business MSCF Postgraduate 2010 Bachelor 3.93 multi-modal B2 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 2.92 internal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2010 Bachelor 3.03 internal B1 
Medium,Business Business Undergraduate 2004 High-school 3.75 internal A2 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.64 internal A3 
Medium,Business Business Undergraduate 2007 High-school 3.44 internal B1 
Medium,Science M.S.inChemistry Postgraduate 2010 Bachelor 2.89 internal B2 
Medium,Business Business Undergraduate 2000 High-school 3.21 multi-modal A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 2010 High-school 3.74 internal A3 
Medium,Business Business Undergraduate 2007 High-school 3.54 multi-modal B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2010 Bachelor 3.27 internal B2 
Low,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 3.31 internal A2 
Medium,Business MBA Postgraduate 2009 Bachelor 3.96 internal B1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2006 High-school 3.07 internal A3 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.18 multi-modal B1 
Medium,Science B.A.inBiologicalSciences Undergraduate 2004 High-school 3.19 internal B2 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.14 multi-modal A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 1999 High-school 3.28 multi-modal A3 
Medium,Business Business Undergraduate 1998 High-school 3.06 internal A1 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.13 internal B1 
Low,Business Economics Undergraduate 2001 High-school 3.01 internal B1 
Low,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.16 multi-modal A3 
Medium,Business Business Undergraduate 2002 High-school 3.59 internal B1 
Low,Business Business Undergraduate 2009 High-school 3.53 external B2 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.14 multi-modal B2 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.64 multi-modal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 1998 High-school 3.24 internal B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.37 internal F 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.93 external B1 
Medium,Business MBA Postgraduate 2010 Bachelor 3.12 internal A2 
Low,Science B.S.inMathematicalSciences Undergraduate 2005 High-school 3.03 multi-modal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.91 multi-modal A3 
